gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
894699207	c6bbb6ef-ad16-4f3c-99e2-f693760173e0	2099874682	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		EE			PRESENT		6d2a7654-1ed0-4924-b22e-9bc221ab2124	57.9	27.4		0.1					2014-04-05T00:00	5	4	2014	2593417	2593417	HUMAN_OBSERVATION	Estonian Naturalists' Society (ELUS)	Estonian Nature Observation Database, Atlas of Estonian Birds, Atlas of Estonian Mammals	2099874682		Kaidi Jõesalu	2014-04-05T00:00:00	CC_BY_4_0		Kaidi Jõesalu			2024-01-25T14:02:22.899Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
894698946	c6bbb6ef-ad16-4f3c-99e2-f693760173e0	1639780548	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		EE			PRESENT		6d2a7654-1ed0-4924-b22e-9bc221ab2124	59.3	25.6		0.1					2014-04-05T00:00	5	4	2014	2593417	2593417	HUMAN_OBSERVATION	Estonian Naturalists' Society (ELUS)	Estonian Nature Observation Database, Atlas of Estonian Birds, Atlas of Estonian Mammals	1639780548		Urmas Ojango	2014-04-05T00:00:00	CC_BY_4_0		Urmas Ojango			2024-01-25T14:02:22.833Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
894698624	c6bbb6ef-ad16-4f3c-99e2-f693760173e0	1066501146	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		EE			PRESENT	16	6d2a7654-1ed0-4924-b22e-9bc221ab2124	59.6	25.5		0.1					2014-03-29T00:00	29	3	2014	2593417	2593417	HUMAN_OBSERVATION	Estonian Naturalists' Society (ELUS)	Estonian Nature Observation Database, Atlas of Estonian Birds, Atlas of Estonian Mammals	1066501146		Urmas Ojango	2014-03-29T00:00:00	CC_BY_4_0		Urmas Ojango			2024-01-25T14:02:24.737Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
894697302	c6bbb6ef-ad16-4f3c-99e2-f693760173e0	-1180669928	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		EE			PRESENT	10	6d2a7654-1ed0-4924-b22e-9bc221ab2124	58.1	27.0		0.1					2014-03-09T00:00	9	3	2014	2593417	2593417	HUMAN_OBSERVATION	Estonian Naturalists' Society (ELUS)	Estonian Nature Observation Database, Atlas of Estonian Birds, Atlas of Estonian Mammals	-1180669928		Mart Toots	2014-03-09T00:00:00	CC_BY_4_0		Mart Toots			2024-01-25T14:02:26.272Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
788622931	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1381972	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		SE	Ultuna		PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	59.81582	17.662							1861-05-15	15	5	1861	2593417	2593417	PRESERVED_SPECIMEN	LD	General	1381972				CC_BY_NC_4_0		O. G. Blomberg			2025-01-05T03:02:17.872Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
723436265	c6bbb6ef-ad16-4f3c-99e2-f693760173e0	-708650008	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		EE			PRESENT	20	6d2a7654-1ed0-4924-b22e-9bc221ab2124	58.3	26.5		0.1					2008-04-27T00:00	27	4	2008	2593417	2593417	HUMAN_OBSERVATION	Estonian Naturalists' Society (ELUS)	Estonian Nature Observation Database, Atlas of Estonian Birds, Atlas of Estonian Mammals	-708650008		Heno Ivanov	2008-04-27T00:00:00	CC_BY_4_0		Heno Ivanov			2024-01-25T14:02:22.407Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
57674163	8431711e-f762-11e1-a439-00145eb45e9a	002401	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		FI		Savonia borealis	PRESENT		ff3a2000-b2ac-11db-b710-b8a03c50a862	62.7873	27.6823	7071.0						1994-07-05	5	7	1994	2593417	2593417	PRESERVED_SPECIMEN	JYV	MYC	002401				CC_BY_4_0		Johanna Hallman			2024-06-13T01:51:27.683Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4996340466	905daf20-04fd-11df-8c28-b8a03c50a862	UME:General:31911	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		SE	Mariebäck	Ångermanland	PRESENT		065e3c2a-35f3-44f6-9ae0-ee5d1f19eec5	63.963333	19.189167	100.0						1999-05-31	31	5	1999	2593417	2593417	PRESERVED_SPECIMEN	UME	General	31911				CC0_1_0		Barbro Andersson			2024-12-19T12:16:49.990Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4986256115	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/331124266	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		EE	Ketneri küla	Tartumaa	PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	58.162642	26.422185	5.0						2020-03-19	19	3	2020	2593417	2593417	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 929961			2024-12-18T16:56:30.027Z		
4982075372	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/251869669	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		LT		Vilniaus	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	55.286687	25.87161	122.0						2024-11-16T10:30	16	11	2024	2593417	2593417	HUMAN_OBSERVATION	iNaturalist	Observations	251869669		jonas_barzdenas	2024-11-16T11:06:15	CC_BY_NC_4_0	jonas_barzdenas	jonas_barzdenas			2024-12-16T11:55:43.242Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4979541542	2bc4c2db-1dfa-419c-93ce-6602c5ae8c99	http://tun.fi/JX.1384973#3	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI		Pohjois-Savo	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	62.533074	27.713483	1.0						2022-05-23T00:00Z	23	5	2022	2593417	2593417	MACHINE_OBSERVATION			http://tun.fi/JX.1384973				CC_BY_4_0		Tuomas Kallio			2025-01-03T20:37:06.243Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4974093504	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/248465148	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		FI		Eastern Finland	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	62.110289	30.102918							2024-05-11T19:34	11	5	2024	2593417	2593417	HUMAN_OBSERVATION	iNaturalist	Observations	248465148		Jaakko Ilvonen	2024-10-21T16:05:30	CC_BY_NC_4_0	Jaakko Ilvonen	Jaakko Ilvonen			2024-12-16T11:53:15.600Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4937064322	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/160945528	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		SE		Uppsala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	59.821299	17.563617							2023-05-10T14:59:46	10	5	2023	2593417	2593417	HUMAN_OBSERVATION	iNaturalist	Observations	160945528		Axel Gudmundsson	2023-05-10T18:18:37	CC_BY_4_0	Axel Gudmundsson	Axel Gudmundsson			2024-12-16T12:19:03.959Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936581901	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/206757936	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		SE		Uppsala	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	59.821301	17.563476							2024-04-12T11:00:32	12	4	2024	2593417	2593417	HUMAN_OBSERVATION	iNaturalist	Observations	206757936		Axel Gudmundsson	2024-04-12T10:40:28	CC_BY_4_0	Axel Gudmundsson	Axel Gudmundsson			2024-12-16T11:48:13.991Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4921848835	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/226893165	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		EE		Põlva	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	58.110735	27.048213							2019-12-25T14:59:09	25	12	2019	2593417	2593417	HUMAN_OBSERVATION	iNaturalist	Observations	226893165		Urmas Tartes	2024-07-05T19:47:43	CC_BY_NC_4_0	Urmas Tartes	Urmas Tartes			2024-12-16T12:23:07.650Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4902093987	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/223634414	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum		SE		Gävleborg	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	61.845701	15.764146	183.0						2024-04-30T19:15:42	30	4	2024	2593417	2593417	HUMAN_OBSERVATION	iNaturalist	Observations	223634414		Åsa Eriksson	2024-06-18T21:56:12	CC_BY_NC_4_0	Åsa Eriksson	Åsa Eriksson			2024-12-16T11:51:35.713Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4898837131	687c05e9-96d6-40e3-b1c9-2e026d0b3fc0	http://tun.fi/KE.921/LGE.251355/492038	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Neulaniemi, Kolmisoppi-Neulamäki, Vuoksen vesistöalue	Pohjois-Savo	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	62.89309	27.583156	1.0						2013-05-25T00:00Z	25	5	2013	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.251355				CC_BY_4_0		Kokkonen Katri			2025-01-03T06:54:37.907Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4898837130	687c05e9-96d6-40e3-b1c9-2e026d0b3fc0	http://tun.fi/KE.921/LGE.251355/492032	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Neulaniemi, Kolmisoppi-Neulamäki, Vuoksen vesistöalue	Pohjois-Savo	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	62.890646	27.585881	1.0						2013-05-25T00:00Z	25	5	2013	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.251355				CC_BY_4_0		Kokkonen Katri			2025-01-03T06:54:38.880Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4898831749	687c05e9-96d6-40e3-b1c9-2e026d0b3fc0	http://tun.fi/KE.921/LGE.251355/492035	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Neulaniemi, Kolmisoppi-Neulamäki, Vuoksen vesistöalue	Pohjois-Savo	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	62.892853	27.584095	1.0						2013-05-25T00:00Z	25	5	2013	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.251355				CC_BY_4_0		Kokkonen Katri			2025-01-03T06:54:38.821Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4898647855	687c05e9-96d6-40e3-b1c9-2e026d0b3fc0	http://tun.fi/KE.921/LGE.251355/492036	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Neulaniemi, Kolmisoppi-Neulamäki, Vuoksen vesistöalue	Pohjois-Savo	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	62.892953	27.583645	1.0						2013-05-25T00:00Z	25	5	2013	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.251355				CC_BY_4_0		Kokkonen Katri			2025-01-03T06:54:38.834Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4898467823	687c05e9-96d6-40e3-b1c9-2e026d0b3fc0	http://tun.fi/KE.921/LGE.251355/492037	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Neulaniemi, Kolmisoppi-Neulamäki, Vuoksen vesistöalue	Pohjois-Savo	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	62.893258	27.58369	1.0						2013-05-25T00:00Z	25	5	2013	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.251355				CC_BY_4_0		Kokkonen Katri			2025-01-03T06:54:37.872Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4898467822	687c05e9-96d6-40e3-b1c9-2e026d0b3fc0	http://tun.fi/KE.921/LGE.251355/492031	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Neulaniemi, Kolmisoppi-Neulamäki, Vuoksen vesistöalue	Pohjois-Savo	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	62.890007	27.586242	1.0						2013-05-25T00:00Z	25	5	2013	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.251355				CC_BY_4_0		Kokkonen Katri			2025-01-03T06:54:38.386Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4898467821	687c05e9-96d6-40e3-b1c9-2e026d0b3fc0	http://tun.fi/KE.921/LGE.251355/492028	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Neulaniemi, Kolmisoppi-Neulamäki, Vuoksen vesistöalue	Pohjois-Savo	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	62.899065	27.583766	1.0						2013-05-25T00:00Z	25	5	2013	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.251355		Kokkonen Katri; pätee kaikkiin näytteisiin		CC_BY_4_0		Kokkonen Katri			2025-01-03T06:54:37.872Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4879702780	128e38cb-9d38-4ecf-989a-1d66175c20e6	http://tun.fi/KE.921/LGO.2316460/2316460	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Vuoksen vesistöalue	Pohjois-Karjala	PRESENT	30	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	62.463485	28.752933	1.0						2020-05-22T00:00Z	22	5	2020	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGO.2316460				CC_BY_4_0		Aurora Prättälä			2025-01-05T05:03:48.637Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4879702671	128e38cb-9d38-4ecf-989a-1d66175c20e6	http://tun.fi/KE.921/LGO.2750751/2750751	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Perämeren rannikkoalue	Pohjois-Pohjanmaa	PRESENT	3	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	65.029354	25.773061	1.0						2022-05-17T00:00Z	17	5	2022	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGO.2750751				CC_BY_4_0		Jokikokko Pauli			2025-01-05T05:03:48.616Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4879701333	128e38cb-9d38-4ecf-989a-1d66175c20e6	http://tun.fi/KE.921/LGO.2750750/2750750	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Perämeren rannikkoalue	Pohjois-Pohjanmaa	PRESENT	5	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	65.029447	25.774586	1.0						2022-05-17T00:00Z	17	5	2022	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGO.2750750				CC_BY_4_0		Jokikokko Pauli			2025-01-05T05:03:48.243Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4879697772	128e38cb-9d38-4ecf-989a-1d66175c20e6	http://tun.fi/KE.921/LGO.3350897/3350897	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Vuoksen vesistöalue	Pohjois-Savo	PRESENT	3	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	62.877406	27.592537	1.0						2024-05-30T00:00Z	30	5	2024	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGO.3350897				CC_BY_4_0		Junninen Kaisa			2025-01-05T05:03:47.120Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4877427802	887bd779-6454-436f-b1f8-86b70488b59f	http://tun.fi/KE.921/LGE.227079/376502	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Ängeslevänjoki f, Temmesjoen vesistöalue	Pohjois-Pohjanmaa	PRESENT	20	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	64.74828	25.835368	1.0						2012-05-13T00:00Z	13	5	2012	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.227079				CC_BY_4_0					2025-01-01T22:51:20.545Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4877427800	887bd779-6454-436f-b1f8-86b70488b59f	http://tun.fi/KE.921/LGE.227078/376501	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Ängeslevänjoki e, Temmesjoen vesistöalue	Pohjois-Pohjanmaa	PRESENT	50	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	64.749408	25.836118	1.0						2012-05-13T00:00Z	13	5	2012	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.227078				CC_BY_4_0					2025-01-01T22:51:20.545Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4877427799	887bd779-6454-436f-b1f8-86b70488b59f	http://tun.fi/KE.921/LGE.227077/376500	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Ängeslevänjoki d, Temmesjoen vesistöalue	Pohjois-Pohjanmaa	PRESENT	20	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	64.749686	25.836085	1.0						2012-05-13T00:00Z	13	5	2012	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.227077				CC_BY_4_0					2025-01-01T22:51:20.181Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4877427797	887bd779-6454-436f-b1f8-86b70488b59f	http://tun.fi/KE.921/LGE.227076/376499	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Ängeslevänjoki c, Temmesjoen vesistöalue	Pohjois-Pohjanmaa	PRESENT	90	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	64.749784	25.833706	1.0						2012-05-13T00:00Z	13	5	2012	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.227076				CC_BY_4_0					2025-01-01T22:51:20.244Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4877427795	887bd779-6454-436f-b1f8-86b70488b59f	http://tun.fi/KE.921/LGE.227075/376498	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Ängeslevänjoki b, Temmesjoen vesistöalue	Pohjois-Pohjanmaa	PRESENT	50	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	64.75017	25.833669	1.0						2012-05-13T00:00Z	13	5	2012	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.227075				CC_BY_4_0					2025-01-01T22:51:20.255Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4877427793	887bd779-6454-436f-b1f8-86b70488b59f	http://tun.fi/KE.921/LGE.227074/376497	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Ängeslevänjoki a, Temmesjoen vesistöalue	Pohjois-Pohjanmaa	PRESENT	6	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	64.74572	25.83844	1.0						2012-05-13T00:00Z	13	5	2012	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.227074				CC_BY_4_0					2025-01-01T22:51:20.545Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4877427792	887bd779-6454-436f-b1f8-86b70488b59f	http://tun.fi/KE.921/LGE.227073/376496	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Sarcosoma	Sarcosoma globosum		SPECIES	Sarcosoma globosum (Schmidel) Casp.	Sarcosoma globosum (Schmidel : Fr.) Casp.		FI	Olkijoki g, Perämeren rannikkoalue	Pohjois-Pohjanmaa	PRESENT	55	04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	64.702609	24.65631	1.0						2012-05-10T00:00Z	10	5	2012	2593417	2593417	HUMAN_OBSERVATION			http://tun.fi/KE.921/LGE.227073				CC_BY_4_0					2025-01-01T22:51:20.544Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
